Titre de tracé : 20011418;;;
#;Date;Heure  GMT+02:00;Moy. : Température  °C (LGR S/N: 20011418)
542;08/30/2020;10:00:00;5.757
543;08/30/2020;12:00:00;10.846
544;08/30/2020;14:00:00;10.553
545;08/30/2020;16:00:00;11.431
546;08/30/2020;18:00:00;10.161
547;08/30/2020;20:00:00;8.779
548;08/30/2020;22:00:00;8.082
549;08/31/2020;00:00:00;7.079
550;08/31/2020;02:00:00;6.674
551;08/31/2020;04:00:00;5.347
552;08/31/2020;06:00:00;4.727
553;08/31/2020;08:00:00;4.519
554;08/31/2020;10:00:00;9.077
555;08/31/2020;12:00:00;13.654
556;08/31/2020;14:00:00;16.427
557;08/31/2020;16:00:00;12.497
558;08/31/2020;18:00:00;10.944
559;08/31/2020;20:00:00;9.176
560;08/31/2020;22:00:00;7.582
561;09/01/2020;00:00:00;6.877
562;09/01/2020;02:00:00;6.064
563;09/01/2020;04:00:00;5.141
564;09/01/2020;06:00:00;4.519
565;09/01/2020;08:00:00;4.311
566;09/01/2020;10:00:00;9.571
567;09/01/2020;12:00:00;13.365
568;09/01/2020;14:00:00;15.378
569;09/01/2020;16:00:00;14.613
570;09/01/2020;18:00:00;11.625
571;09/01/2020;20:00:00;10.063
572;09/01/2020;22:00:00;8.879
573;09/02/2020;00:00:00;8.382
574;09/02/2020;02:00:00;7.079
575;09/02/2020;04:00:00;6.268
576;09/02/2020;06:00:00;5.552
577;09/02/2020;08:00:00;5.347
578;09/02/2020;10:00:00;10.161
579;09/02/2020;12:00:00;14.134
580;09/02/2020;14:00:00;15.855
581;09/02/2020;16:00:00;15.378
582;09/02/2020;18:00:00;12.207
583;09/02/2020;20:00:00;10.357
584;09/02/2020;22:00:00;9.472
585;09/03/2020;00:00:00;8.779
586;09/03/2020;02:00:00;8.282
587;09/03/2020;04:00:00;7.079
588;09/03/2020;06:00:00;6.166
589;09/03/2020;08:00:00;5.860
590;09/03/2020;10:00:00;10.553
591;09/03/2020;12:00:00;14.421
592;09/03/2020;14:00:00;16.427
593;09/03/2020;16:00:00;16.427
594;09/03/2020;18:00:00;13.076
595;09/03/2020;20:00:00;11.236
596;09/03/2020;22:00:00;9.965
597;09/04/2020;00:00:00;9.077
598;09/04/2020;02:00:00;8.481
599;09/04/2020;04:00:00;8.082
600;09/04/2020;06:00:00;7.882
601;09/04/2020;08:00:00;7.882
602;09/04/2020;10:00:00;13.076
603;09/04/2020;12:00:00;17.094
604;09/04/2020;14:00:00;18.996
605;09/04/2020;16:00:00;18.806
606;09/04/2020;18:00:00;14.996
607;09/04/2020;20:00:00;13.076
608;09/04/2020;22:00:00;11.722
609;09/05/2020;00:00:00;10.748
610;09/05/2020;02:00:00;10.161
611;09/05/2020;04:00:00;9.472
612;09/05/2020;06:00:00;8.978
613;09/05/2020;08:00:00;8.680
614;09/05/2020;10:00:00;13.558
615;09/05/2020;12:00:00;16.903
616;09/05/2020;14:00:00;18.616
617;09/05/2020;16:00:00;16.523
618;09/05/2020;18:00:00;14.230
619;09/05/2020;20:00:00;12.594
620;09/05/2020;22:00:00;11.236
621;09/06/2020;00:00:00;10.259
622;09/06/2020;02:00:00;9.472
623;09/06/2020;04:00:00;8.779
624;09/06/2020;06:00:00;7.983
625;09/06/2020;08:00:00;7.782
626;09/06/2020;10:00:00;12.497
627;09/06/2020;12:00:00;15.855
628;09/06/2020;14:00:00;17.379
629;09/06/2020;16:00:00;16.332
630;09/06/2020;18:00:00;14.038
631;09/06/2020;20:00:00;11.819
632;09/06/2020;22:00:00;10.357
633;09/07/2020;00:00:00;9.669
634;09/07/2020;02:00:00;9.275
635;09/07/2020;04:00:00;8.282
636;09/07/2020;06:00:00;7.481
637;09/07/2020;08:00:00;7.381
638;09/07/2020;10:00:00;9.571
