Titre de tracé : 11015768;;;
#;Date Heure, GMT+02:00;Moy. : Température, °C (LGR S/N: 11015768);
375;08/09/2020;12:00:00;22.238
376;08/09/2020;14:00:00;26.879
377;08/09/2020;16:00:00;28.357
378;08/09/2020;18:00:00;26.195
379;08/09/2020;20:00:00;24.351
380;08/09/2020;22:00:00;22.333
381;08/10/2020;00:00:00;20.901
382;08/10/2020;02:00:00;19.853
383;08/10/2020;04:00:00;18.996
384;08/10/2020;06:00:00;17.855
385;08/10/2020;08:00:00;17.760
386;08/10/2020;10:00:00;19.853
387;08/10/2020;12:00:00;23.196
388;08/10/2020;14:00:00;26.683
389;08/10/2020;16:00:00;26.000
390;08/10/2020;18:00:00;22.429
391;08/10/2020;20:00:00;18.711
392;08/10/2020;22:00:00;17.475
393;08/11/2020;00:00:00;17.094
394;08/11/2020;02:00:00;16.332
395;08/11/2020;04:00:00;15.473
396;08/11/2020;06:00:00;15.187
397;08/11/2020;08:00:00;14.900
398;08/11/2020;10:00:00;15.855
399;08/11/2020;12:00:00;18.426
400;08/11/2020;14:00:00;21.473
401;08/11/2020;16:00:00;23.100
402;08/11/2020;18:00:00;21.951
403;08/11/2020;20:00:00;20.138
404;08/11/2020;22:00:00;18.996
405;08/12/2020;00:00:00;18.045
406;08/12/2020;02:00:00;17.094
407;08/12/2020;04:00:00;16.332
408;08/12/2020;06:00:00;15.760
409;08/12/2020;08:00:00;15.282
410;08/12/2020;10:00:00;16.523
411;08/12/2020;12:00:00;19.472
412;08/12/2020;14:00:00;22.908
413;08/12/2020;16:00:00;22.046
414;08/12/2020;18:00:00;21.091
415;08/12/2020;20:00:00;19.948
416;08/12/2020;22:00:00;18.616
417;08/13/2020;00:00:00;17.570
418;08/13/2020;02:00:00;16.808
419;08/13/2020;04:00:00;16.427
420;08/13/2020;06:00:00;15.951
421;08/13/2020;08:00:00;15.569
422;08/13/2020;10:00:00;16.713
423;08/13/2020;12:00:00;18.236
424;08/13/2020;14:00:00;21.855
425;08/13/2020;16:00:00;20.996
426;08/13/2020;18:00:00;18.996
427;08/13/2020;20:00:00;18.140
428;08/13/2020;22:00:00;17.189
429;08/14/2020;00:00:00;15.951
430;08/14/2020;02:00:00;15.473
431;08/14/2020;04:00:00;15.091
432;08/14/2020;06:00:00;14.804
433;08/14/2020;08:00:00;14.325
434;08/14/2020;10:00:00;15.282
435;08/14/2020;12:00:00;17.760
436;08/14/2020;14:00:00;21.760
437;08/14/2020;16:00:00;21.569
438;08/14/2020;18:00:00;19.758
439;08/14/2020;20:00:00;18.711
440;08/14/2020;22:00:00;17.379
441;08/15/2020;00:00:00;16.618
442;08/15/2020;02:00:00;15.760
443;08/15/2020;04:00:00;15.282
444;08/15/2020;06:00:00;14.709
445;08/15/2020;08:00:00;14.134
446;08/15/2020;10:00:00;14.900
447;08/15/2020;12:00:00;18.331
448;08/15/2020;14:00:00;21.760
449;08/15/2020;16:00:00;22.333
450;08/15/2020;18:00:00;20.519
451;08/15/2020;20:00:00;18.616
452;08/15/2020;22:00:00;17.189
453;08/16/2020;00:00:00;16.332
454;08/16/2020;02:00:00;15.378
455;08/16/2020;04:00:00;14.804
456;08/16/2020;06:00:00;14.038
457;08/16/2020;08:00:00;13.654
458;08/16/2020;10:00:00;14.996
459;08/16/2020;12:00:00;17.760
460;08/16/2020;14:00:00;20.615
461;08/16/2020;16:00:00;20.043
462;08/16/2020;18:00:00;19.567
463;08/16/2020;20:00:00;18.331
464;08/16/2020;22:00:00;17.379
465;08/17/2020;00:00:00;16.141
466;08/17/2020;02:00:00;15.760
467;08/17/2020;04:00:00;15.473
468;08/17/2020;06:00:00;15.091
469;08/17/2020;08:00:00;14.709
470;08/17/2020;10:00:00;14.996
471;08/17/2020;12:00:00;17.855
472;08/17/2020;14:00:00;19.662
473;08/17/2020;16:00:00;19.472
474;08/17/2020;18:00:00;18.711
475;08/17/2020;20:00:00;17.475
476;08/17/2020;22:00:00;16.332
477;08/18/2020;00:00:00;15.664
478;08/18/2020;02:00:00;15.187
479;08/18/2020;04:00:00;14.613
480;08/18/2020;06:00:00;14.325
481;08/18/2020;08:00:00;13.558
482;08/18/2020;10:00:00;14.709
483;08/18/2020;12:00:00;17.665
484;08/18/2020;14:00:00;21.091
485;08/18/2020;16:00:00;21.569
486;08/18/2020;18:00:00;19.662
487;08/18/2020;20:00:00;18.236
488;08/18/2020;22:00:00;16.427
489;08/19/2020;00:00:00;15.473
490;08/19/2020;02:00:00;14.709
491;08/19/2020;04:00:00;14.038
492;08/19/2020;06:00:00;13.558
493;08/19/2020;08:00:00;12.787
494;08/19/2020;10:00:00;13.942
495;08/19/2020;12:00:00;17.379
496;08/19/2020;14:00:00;21.569
497;08/19/2020;16:00:00;23.004
498;08/19/2020;18:00:00;20.996
499;08/19/2020;20:00:00;19.282
500;08/19/2020;22:00:00;18.045
501;08/20/2020;00:00:00;17.094
502;08/20/2020;02:00:00;16.237
503;08/20/2020;04:00:00;15.473
504;08/20/2020;06:00:00;14.900
505;08/20/2020;08:00:00;14.613
506;08/20/2020;10:00:00;15.473
507;08/20/2020;12:00:00;19.472
508;08/20/2020;14:00:00;23.677
509;08/20/2020;16:00:00;25.610
510;08/20/2020;18:00:00;22.717
511;08/20/2020;20:00:00;20.710
512;08/20/2020;22:00:00;19.377
513;08/21/2020;00:00:00;18.521
514;08/21/2020;02:00:00;17.475
515;08/21/2020;04:00:00;16.808
516;08/21/2020;06:00:00;15.951
517;08/21/2020;08:00:00;15.282
518;08/21/2020;10:00:00;16.523
519;08/21/2020;12:00:00;21.187
520;08/21/2020;14:00:00;26.195
521;08/21/2020;16:00:00;27.961
522;08/21/2020;18:00:00;24.158
523;08/21/2020;20:00:00;21.855
524;08/21/2020;22:00:00;20.424
525;08/22/2020;00:00:00;19.377
526;08/22/2020;02:00:00;18.236
527;08/22/2020;04:00:00;17.284
528;08/22/2020;06:00:00;16.713
529;08/22/2020;08:00:00;16.427
530;08/22/2020;10:00:00;17.094
531;08/22/2020;12:00:00;19.567
532;08/22/2020;14:00:00;24.545
533;08/22/2020;16:00:00;26.488
534;08/22/2020;18:00:00;23.292
535;08/22/2020;20:00:00;21.473
536;08/22/2020;22:00:00;19.853
537;08/23/2020;00:00:00;18.806
538;08/23/2020;02:00:00;18.140
539;08/23/2020;04:00:00;17.570
540;08/23/2020;06:00:00;16.903
541;08/23/2020;08:00:00;16.713
542;08/23/2020;10:00:00;17.379
543;08/23/2020;12:00:00;20.615
544;08/23/2020;14:00:00;24.255
545;08/23/2020;16:00:00;25.610
546;08/23/2020;18:00:00;22.046
547;08/23/2020;20:00:00;20.138
548;08/23/2020;22:00:00;18.616
549;08/24/2020;00:00:00;17.189
550;08/24/2020;02:00:00;16.046
551;08/24/2020;04:00:00;15.187
552;08/24/2020;06:00:00;14.613
553;08/24/2020;08:00:00;14.421
554;08/24/2020;10:00:00;14.996
555;08/24/2020;12:00:00;18.711
556;08/24/2020;14:00:00;23.004
557;08/24/2020;16:00:00;25.222
558;08/24/2020;18:00:00;21.473
559;08/24/2020;20:00:00;19.567
560;08/24/2020;22:00:00;18.045
561;08/25/2020;00:00:00;16.618
562;08/25/2020;02:00:00;15.664
563;08/25/2020;04:00:00;14.421
564;08/25/2020;06:00:00;13.846
565;08/25/2020;08:00:00;13.269
566;08/25/2020;10:00:00;14.421
567;08/25/2020;12:00:00;19.282
568;08/25/2020;14:00:00;25.416
569;08/25/2020;16:00:00;27.567
570;08/25/2020;18:00:00;22.908
571;08/25/2020;20:00:00;20.424
572;08/25/2020;22:00:00;18.711
573;08/26/2020;00:00:00;17.760
574;08/26/2020;02:00:00;16.713
575;08/26/2020;04:00:00;16.141
576;08/26/2020;06:00:00;15.569
577;08/26/2020;08:00:00;15.664
578;08/26/2020;10:00:00;16.332
579;08/26/2020;12:00:00;20.901
580;08/26/2020;14:00:00;25.513
581;08/26/2020;16:00:00;28.953
582;08/26/2020;18:00:00;23.677
583;08/26/2020;20:00:00;21.569
584;08/26/2020;22:00:00;19.662
585;08/27/2020;00:00:00;18.426
586;08/27/2020;02:00:00;16.999
587;08/27/2020;04:00:00;15.855
588;08/27/2020;06:00:00;15.091
589;08/27/2020;08:00:00;14.325
590;08/27/2020;10:00:00;15.569
591;08/27/2020;12:00:00;20.329
592;08/27/2020;14:00:00;25.125
593;08/27/2020;16:00:00;29.252
594;08/27/2020;18:00:00;23.869
595;08/27/2020;20:00:00;21.664
596;08/27/2020;22:00:00;20.329
597;08/28/2020;00:00:00;18.806
598;08/28/2020;02:00:00;17.950
599;08/28/2020;04:00:00;16.903
600;08/28/2020;06:00:00;15.760
601;08/28/2020;08:00:00;15.282
602;08/28/2020;10:00:00;16.427
603;08/28/2020;12:00:00;19.092
604;08/28/2020;14:00:00;15.951
605;08/28/2020;16:00:00;15.664
606;08/28/2020;18:00:00;13.942
607;08/28/2020;20:00:00;13.846
