;species;year;BER_carrelet;BER_carrelet_rip;BER_clapier;BER_lac1;BER_lac2;EYCH_meleze;EYCH_torr_ABCD;EYCH_torr_EFG;MAUR_arpont;MAUR_planay_haut;MAUR_planay_torr_ABCD;MAUR_planay_torr_EFGH;VALL_gla_bl;VALL_mor_bas;VALL_mor_haut_ABCD;VALL_mor_haut_DE;VILL_bas;VILL_haut
Festuca quadriflora;Fes_qua;2021;;;;;;0;0;0;0;0;;;0;1;0;0;1;1
Festuca rubra gp.;Fes_rub.;2021;;;;;;1;0;1;0;0;;;0;0;0;0;0;0
Festuca violacea;Fes_vio;2021;;;;;;0;0;0;0;0;;;1;0;1;1;1;0
Galium obliquum;Gal_obl;2021;;;;;;1;0;0;1;0;;;0;0;0;0;0;0
Galium pumilum;Gal_pum;2021;;;;;;0;0;1;0;0;;;0;0;0;0;0;0
Galium sp.;Gal_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Globularia bisnagarica;Glo_bis;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Globularia cordifolia;Glo_cor;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Helictotrichon sedenense;Hel_sed;2021;;;;;;0;1;0;0;0;;;0;0;0;0;0;0
Helictotrichon sempervirens;Hel_sem;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Helianthemum nummularium;Hel_num;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Hieracium morisianum;Hie_mor;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Hieracium piliferum;Hie_pil;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;1
Hieracium umbrosum;Hie_sp1;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Hieracium sp.;Hie_sp2;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Hippophae rhamnoides;Hip_rha;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Imperatoria ostruthium;Imp_ost;2021;;;;;;0;0;0;0;1;;;1;0;0;0;0;0
Jacobaea incana;Jac_inc;2021;;;;;;0;0;0;0;0;;;0;0;1;0;0;0
Juncus trifidus;Jun_tri;2021;;;;;;0;0;0;0;0;;;0;0;1;0;0;0
Larix decidua;Lar_dec;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Leontodon hispidus;Leo_his;2021;;;;;;0;0;0;1;1;;;0;0;0;0;0;0
Leontodon pyrenaicus;Leo_pyr;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Leontodon sp.;Leo_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Leucanthemopsis alpina;Leu_alp;2021;;;;;;0;0;0;0;0;;;1;0;1;1;0;1
Lotus alpinus;Lot_alp;2021;;;;;;1;0;0;1;1;;;1;0;1;0;1;1
Luzula spicata;Luz_spi;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Melampyrum pratense;Mel_pra;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Minuartia laricifolia;Min_lar;2021;;;;;;1;0;0;0;0;;;0;1;0;0;0;1
Minuartia sedoides;Min_sed;2021;;;;;;0;0;0;0;0;;;0;0;0;0;1;0
Minuartia verna;Min_ver;2021;;;;;;0;0;0;0;0;;;0;0;0;0;1;0
Myosotis alpestris;Myo_alp;2021;;;;;;0;0;0;0;0;;;1;0;0;0;0;0
Oxtryopis campestris;Oxt_cam;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Pilosella officinarum;Pil_off;2021;;;;;;1;0;0;0;1;;;0;0;0;0;0;0
Pilosella sp.;Pil_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Plantago maritima ssp. serpentina;Pla_ser;2021;;;;;;1;0;0;1;0;;;0;0;0;0;0;0
Poa alpina;Poa_alp;2021;;;;;;1;0;0;0;1;;;1;0;1;1;1;1
Poa cenisia;Poa_cen;2021;;;;;;0;1;1;0;0;;;1;0;0;0;0;0
Poa nemoralis;Poa_nem;2021;;;;;;0;0;0;1;1;;;0;0;0;0;0;0
Poa sp.;Poa_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Polygala sp. ;Pol_sp.;2021;;;;;;0;0;0;0;1;;;0;0;0;0;0;0
Polytrichum sp.;Pol_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Potentilla verna;Pot_ver;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Rhinanthus minor;Rhi_min;2021;;;;;;0;0;0;0;0;;;0;1;0;0;0;0
Rosa sp.;Ros_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Rumex scutatus;Rum_scu;2021;;;;;;0;1;1;0;0;;;0;0;0;0;0;0
Sagina glabra;Sag_gla;2021;;;;;;0;0;0;0;1;;;0;0;1;0;0;0
Salix breviserrata;Sal_bre;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Salix daphnoides;Sal_dap;2021;;;;;;0;0;1;0;0;;;0;0;0;0;0;0
Salix eleagnos;Sal_ele;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Salix purpurea;Sal_pur;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Salix sp.;Sal_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Saxifraga aizoides;Sax_aiz;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Saxifraga bryoides;Sax_bry;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;1
Saxifraga exarata;Sax_exa;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;1
Saxifraga moschata;Sax_mos;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
