species;year;BER_carrelet;BER_carrip;BER_claphp;BER_lacrip;BER_lactor;EYCH_meleze;EYCH_torr1;EYCH_torr2;STANDRE_arpont;STANDRE_plah;STANDRE_plabABCD;STANDRE_plabEFGH;VALL_glabl;VALL_morba;VALL_morhautABC;VALL_morhautDE;VILL_bas;VILL_haut
Rhinanthus minor;2021;;;;;;;;;;;;;;+;;;;
Rosa sp.;2021;;;;;;;;;;;;;;;;;;
Rumex scutatus;2021;;;;;;;+;1;;;1;;;;;;;
Sagina glabra;2021;;;;;;;;;;+;+;+;;;2;;;
Salix breviserrata;2021;;;;;;;;;;;;;;;;;;
Salix daphnoides;2021;;;;;;;;+;;;;;;;;;;
Salix eleagnos;2021;;;;;;;;;;;;;;;;;;
Salix purpurea;2021;;;;;;;;;;;;;;;;;;
Salix sp.;2021;;;;;;;;;;;;;;;;;;
Saxifraga aizoides;2021;;;;;;;;;;;1;;;;;;;
Saxifraga bryoides;2021;;;;;;;;;;;;;;;;;;+
Saxifraga exarata;2021;;;;;;;;;;;;;;;;;;1
Saxifraga moschata;2021;;;;;;+;;;;;;;;;;;;
Saxifraga paniculata;2021;;;;;;+;;;;;;;1;;;;;
Sedum album;2021;;;;;;;;;;;;;;;;;;
Sedum alpestre;2021;;;;;;;;;;;;;1;+;;;;
Sedum dasyphyllum;2021;;;;;;+;;;;;;;;;;;;
Sedum montanum;2021;;;;;;+;1;;;;;;;;;;;
Sempervivum arachnoideum;2021;;;;;;4;2;;;;;;;1;+;;10;
Sempervivum montanum;2021;;;;;;;;;;;;;2;;+;;;
Silene acaulis bryoides;2021;;;;;;;;;;;;;;;;;3;3
Silene otites;2021;;;;;;;;;;;;;;;;;;
Silene vulgaris prostrata;2021;;;;;;;;;5;;;;;;;;;
Solidago virgaurea;2021;;;;;;;+;;;;;;;;;;;
Sorbus aria;2021;;;;;;+;;;;;;;;;;;;
Taraxacum sp.;2021;;;;;;;;;1;+;2;;;;;;2;
Thesium alpinum;2021;;;;;;;;;;;;;;;;;;
