species;BER_carrelet_18;BER_carrelet_18;BER_carrip_18;BER_carrip_18;BER_claphp_18;BER_claphp_18;BER_lacrip_18;BER_lacrip_18;BER_lactor_18;BER_lactor_18;EYCH_meleze_18;EYCH_meleze_18;EYCH_torr1_18;EYCH_torr1_18;EYCH_torr2_18;EYCH_torr2_18;STANDRE_arpont_18;STANDRE_arpont_18;STANDRE_plah_18;STANDRE_plah_18;STANDRE_plabABCD_18;STANDRE_plabABCD_18;STANDRE_plabEFGH_18;STANDRE_plabEFGH_18;VALL_glabl_18;VALL_glabl_18;VALL_morba_18;VALL_morba_18;VALL_morhautABC_18;VALL_morhautABC_18;VALL_morhautDE_18;VALL_morhautDE_18;VILL_bas_18;VILL_bas_18;VILL_haut_18;VILL_haut_18;BER_carrelet_21;BER_carrelet_21;BER_carrip_21;BER_carrip_21;BER_claphp_21;BER_claphp_21;BER_lacrip_21;BER_lacrip_21;BER_lactor_21;BER_lactor_21;EYCH_meleze_21;EYCH_meleze_21;EYCH_torr1_21;EYCH_torr1_21;EYCH_torr2_21;EYCH_torr2_21;STANDRE_arpont_21;STANDRE_arpont_21;STANDRE_plah_21;STANDRE_plah_21;STANDRE_plabABCD_21;STANDRE_plabABCD_21;STANDRE_plabEFGH_21;STANDRE_plabEFGH_21;VALL_glabl_21;VALL_glabl_21;VALL_morba_21;VALL_morba_21;VALL_morhautABC_21;VALL_morhautABC_21;VALL_morhautDE_21;VALL_morhautDE_21;VILL_bas_21;VILL_bas_21;VILL_haut_21;VILL_haut_21
Minuartia laricifolia;;0;;0;;0;;0;;0;8%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;3%;1;3%;1;;;;;;;;;;;8;1;;0;;0;;;;;;;;;;0;12;1;;0;;0;;0;1;1
Minuartia sedoides;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;6%;1;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;1;1;;0
Minuartia verna;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;2;1;;0
Myosotis alpestris;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;3%;1;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;5;1;;0;;0;;0;;0;;0
Oxtryopis campestris;;0;;0;;0;3%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Pilosella officinarum;;0;;0;;0;;0;;0;2%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Pilosella sp.;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Plantago maritima ssp. serpentina;;0;8%;1;;0;;0;;0;1%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;1;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Poa alpina;;0;;0;;0;;0;;0;;0;;0;;0;;0;3%;1;+;1;2%;1;;0;;0;6%;1;2%;1;12%;1;4%;1;;;;;;;;;;;+;1;;0;;0;;;;;;;;;1;1;;0;+;1;1;1;6;1;3;1
Poa cenisia;;0;;0;;0;;0;;0;;0;5%;1;;1;;0;;0;;0;;0;10%;1;;0;;0;;0;;0;;0;;;;;;;;;;;;0;1;1;+;1;;;;;;;;;8;1;;0;;0;;0;;0;;0
Poa nemoralis;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Poa sp;;0;;0;;0;;0;;0;;0;;0;;0;20%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Polytrichum sp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;10%;1;60%;1;+;1;5%;1;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Potentille verna;;0;;0;;0;;0;;0;10%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;10;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Rhinanthus minor;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;+;1;;0;;0;;0;;0
Rosa sp.;;0;;0;;0;+;1;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Rumex scutatus;;0;;0;;0;;0;;0;;0;;0;NA;1;;0;1%;1;1%;1;;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;+;1;1;1;;;;;;;;;;0;;0;;0;;0;;0;;0
Sagina glabra;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;2%;1;+;1;;0;;0;10%;1;;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;2;1;;0;;0;;0
Salix breviserrata;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Salix daphnoides;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;+;1;;;;;;;;;;0;;0;;0;;0;;0;;0
Salix eleagnos;;0;;0;10%;1;8%;1;20%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Salix purpurea;;0;;0;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Salix sp.;;0;;0;;0;;0;2%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Saxifraga aizoides;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
